impa_code,name,description,category,quantity,unit,min_stock,location
0591443,Installation,Weight 27 kg ‘Name of Mir Victor Marine Lid,General,0,pcs,0,
0591451,Portable Gas Freeing Fans,"© spaces such as cofferdams and double —— @® __ for inspection and repair work. The air flow can be changed from penetration to extraction in a simple operation. Available in three drive mediums, comp",General,0,pcs,0,
0591452,Portable Gas Freeing Fans,"© spaces such as cofferdams and double —— @® __ for inspection and repair work. The air flow can be changed from penetration to extraction in a simple operation. Available in three drive mediums, comp",General,0,pcs,0,
0591457,cove soraao,"To change from penetration to extraction is a one-man operation and can take barely 10 minutes to perform. There is a choice of water, compressed air or steam as the driven medium A handy transport tr",Provisions,0,Per Set,0,
0591459,Portable Gas Freeing Fans,"© spaces such as cofferdams and double —— @® __ for inspection and repair work. The air flow can be changed from penetration to extraction in a simple operation. Available in three drive mediums, comp",General,0,pcs,0,
0591461,cone ODE onl,Folding Type,General,0,pcs,0,
0591467,Soosse Saosts,"59-68 591618 59-75, 81 591765 59-78, 79",General,0,pcs,0,
0591468,Soosse Saosts,"59-68 591619 59-75, 81 ‘§91766 59-78, 79",General,0,pcs,0,
0591469,Soosse Saosts,"59-68 591620 59-75, 81 591767 59-78, 79",General,0,pcs,0,
0591484,0591484,,General,0,pcs,0,
0591486,0591486,,General,0,pcs,0,
0591487,cone ODE onl,Ring Type,General,0,pcs,0,
0591490,0591490,,General,0,pcs,0,
0591501,0591501,,General,0,pcs,0,
0591502,0591502,,General,0,pcs,0,
0591521,0591521,,General,0,pcs,0,
0591522,Key Features,"* Integral ‘Direct In-Line’ drive, no gearbox to maintain or fail. * Alternative deck flanges and fan connections available. * Ancillary equipment available (layflat hoses, ducting, fittings, adaptors",Piping & Valves,0,pcs,0,
0591523,Cope,,General,0,pcs,0,
0591524,Key Features,"* Integral ‘Direct In-Line’ drive, no gearbox to maintain or fail. * Alternative deck flanges and fan connections available. * Ancillary equipment available (layflat hoses, ducting, fittings, adaptors",Piping & Valves,0,pcs,0,
0591527,0591527,,General,0,pcs,0,
0591534,ener eet,"and rooms. They can be also used as (ay, drying wet surfaces and atmospheres. Fitted with fan blades that can blow hot air out a few meters away. Heater includes; Overheat protection, Adjustable therm",Cutting Tools,0,pcs,0,
0591535,0591535,,General,0,pcs,0,
